network,processors,bodies,cpu_time,net_time,total_time
tcpip/ethernet,64,29952,1.0491,1.3789,2.4280
tcpip/infiniband,64,29952,1.1010,0.7564,1.8574
native/infiniband,64,29952,1.0486,2.4761,3.5247
tcpip/ethernet,64,49984,2.2781,2.4193,4.6973
tcpip/infiniband,64,49984,2.9973,0.6744,3.6717
native/infiniband,64,49984,2.2470,3.2250,5.4720
tcpip/ethernet,64,99968,9.0002,6.4065,15.4067
tcpip/infiniband,64,99968,10.5308,1.9588,12.4896
native/infiniband,64,99968,10.9035,3.0261,13.9296
tcpip/ethernet,''64,200000,42.4359,11.3926,53.8285
tcpip/infiniband,64,200000,45.4582,2.1983,47.6565
native/infiniband,64,200000,46.5173,3.2039,49.7213
tcpip/ethernet,64,400000,177.1911,22.3984,199.5896
tcpip/infiniband,64,400000,184.9695,3.8931,188.8627
native/infiniband,64,400000,188.6943,5.5279,194.2223
tcpip/ethernet,64,600000,409.9251,30.9726,440.8977
tcpip/infiniband,64,600000,417.3815,6.6102,423.9917
native/infiniband,64,600000,422.1059,10.3581,432.4640
tcpip/ethernet,64,800000,735.4468,39.8831,775.3298
tcpip/infiniband,64,800000,742.6921,10.5338,753.2259
native/infiniband,64,800000,756.3049,10.8208,767.1257
tcpip/ethernet,64,1000000,1153.6644,50.7209,1204.3853
tcpip/infiniband,64,1000000,1163.7123,12.7996,1176.5119
native/infiniband,64,1000000,1185.3669,11.4522,1196.8191
