network,processors,bodies,cpu_time,net_time,total_time
tcpip/ethernet,64,29952,1.0163,1.3371,2.3534
tcpip/infiniband,64,29952,1.0795,0.7060,1.7856
native/infiniband,64,29952,0.7080,2.5745,3.2824
tcpip/ethernet,64,49984,2.1404,2.2837,4.4241
tcpip/infiniband,64,49984,2.4910,0.9665,3.4575
native/infiniband,64,49984,2.2612,2.8371,5.0983
tcpip/ethernet,64,99968,8.0570,6.3269,14.3839
tcpip/infiniband,64,99968,10.2609,1.1175,11.3784
native/infiniband,64,99968,9.9721,2.8539,12.8260
tcpip/ethernet,64,200000,40.1160,9.0349,49.1509
tcpip/infiniband,64,200000,41.5739,1.6300,43.2040
native/infiniband,64,200000,41.5342,3.9429,45.4771
tcpip/ethernet,64,400000,163.2660,18.6810,181.9470
tcpip/infiniband,64,400000,167.9706,2.9910,170.9616
native/infiniband,64,400000,171.2063,5.8707,177.0770
tcpip/ethernet,64,600000,370.2235,28.8725,399.0960
tcpip/infiniband,64,600000,373.6509,7.8601,381.5110
native/infiniband,64,600000,379.1135,11.9527,391.0662
tcpip/ethernet,64,800000,661.1510,39.6496,700.8005
tcpip/infiniband,64,800000,668.9850,9.0205,678.0054
native/infiniband,64,800000,678.4409,22.8798,701.3207
tcpip/ethernet,64,1000000,1037.6290,49.3927,1087.0216
tcpip/infiniband,64,1000000,1048.5812,8.6784,1057.2595
native/infiniband,64,1000000,1061.8693,20.7417,1082.6109
