network,processors,bodies,cpu_time,net_time,total_time
tcpip/ethernet,64,29952,0.6626,0.8851,1.5476
tcpip/infiniband,64,29952,0.5751,0.4040,0.9791
native/infiniband,64,29952,0.6460,1.2358,1.8818
tcpip/ethernet,64,49984,0.7509,1.6665,2.4174
tcpip/infiniband,64,49984,0.8201,0.4000,1.2201
native/infiniband,64,49984,0.7678,1.4057,2.1735
tcpip/ethernet,64,99968,1.4326,3.0026,4.4351
tcpip/infiniband,64,99968,1.7138,0.6821,2.3959
native/infiniband,64,99968,1.4398,2.0363,3.4760
tcpip/ethernet,64,200000,6.0558,5.1661,11.2219
tcpip/infiniband,64,200000,6.3375,0.9910,7.3285
native/infiniband,64,200000,5.9579,3.1558,9.1138
tcpip/ethernet,64,400000,38.4630,9.7004,48.1634
tcpip/infiniband,64,400000,40.1732,1.0993,41.2726
native/infiniband,64,400000,56.1057,4.8529,60.9586
tcpip/ethernet,64,600000,98.2923,20.6305,118.9228
tcpip/infiniband,64,600000,106.6278,2.6692,109.2970
native/infiniband,64,600000,129.5560,5.6235,135.1795
tcpip/ethernet,64,800000,204.5669,28.7323,233.2992
tcpip/infiniband,64,800000,207.5459,5.7933,213.3392
native/infiniband,64,800000,252.5599,29.8118,282.3717
tcpip/ethernet,64,1000000,352.0269,39.3857,391.4126
tcpip/infiniband,64,1000000,350.0909,16.2919,366.3828
native/infiniband,64,1000000,417.9832,50.2762,468.2593
